选手码,评委,欣赏性,娱乐性,挑战性,创新性,加分项,扣分项
A1,J1,9,57,20,9,4,0
A1,J2,8,58,20,7,3,0
A2,J1,8,50,14,5,3,0
A2,J2,9,49,18,3,2,0
A4,J1,8,55,16,9,4,0
A4,J2,7,55,19,5,2,0
B1,J1,6,57,17,10,4.5,0
B1,J2,5,57.5,16,9.5,4,0
B2,J1,9.5,53.6,14.8,7.7,4,0
B2,J2,9.4,55,15,8,4,0
B3,J1,5.2,28.6,4.9,5,2,0
B3,J2,3,8,4,3,1.5,0
B4,J1,10,54,17,7,4,0
B4,J2,9.5,56,18.5,8.5,4,0
C1,J1,10,53,19,5,3,0
C1,J2,10,54,18,6,3.5,0
C2,J1,6,4,2,4,1,0
C2,J2,7,48,14,5.5,3,0
C3,J1,8.5,49,15,5,2.5,0
C3,J2,8.2,48.5,15,4.5,3,0
C4,J1,8.2,45.8,12.5,6.8,3,0
C4,J2,8.7,49,15.2,5.8,3.5,0
D1,J1,9,47,17,9.5,4.5,0
D1,J2,8.5,48,16,9,4,0
D2,JR,7.5,25,8.5,6.5,3,0
D2,J2,7.5,25,8.5,6.5,3,0
D3,J1,6,49,17,4,0,-40
D3,J2,7,47,15,4,0,-40
D4,J1,8.5,50,18,7,4.5,0
D4,J2,7.5,53,17,8,5,0
