选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
a1,J1,8,28,13,13,28,2,0
a1,J2,9,27,11,12,26,2.5,0
a2,J1,7,27,14,12,23,4,0
a2,J2,7.5,24.5,12,10.5,22,4,0
a4,J1,8,28,11,12,27,2,0
a4,J2,9.1,27.5,12,12.8,26.8,3.5,0
a5,J1,7,27,8,11,22,2,0
a5,J2,7.5,27.5,9.3,10,22,2,0
b1,J1,6,18,9,9,19.5,3,0
b1,J2,6.2,21,13.4,9,23.4,2.5,0
b2,J1,9.5,28,13,14,26.5,4,0
b2,J2,9,27.6,12.8,13.5,27.5,4,0
b3,J1,9.2,25,8.6,11.3,25,2,0
b3,J2,8,25,9.5,12.5,25,2.5,0
b4,JR1,8.2,23.2,7.7,9.5,23,3,0
b4,JR2,8,25,7,8,23,3,0
b5,J1,6,21,9.4,12,23.3,3,0
b5,J2,7,22.5,10.2,13,24.5,2.5,0
c1,J1,6,23.5,12.3,12,26,2.5,0
c1,J2,6.9,25,12,10,26,3,0
c2,J1,9.5,27.5,10.7,12.8,26.5,4.5,0
c2,J2,9,26.5,13.5,13.5,26.5,3.5,0
c3,J1,9.8,28,10.5,13.8,27.5,3.5,0
c3,J2,9.5,28.5,13,13.5,26.5,4,0
c4,J1,9,28.8,14,13.8,27.8,4,0
c4,J2,9.5,27.5,14.5,14,27,3,0
c5,J1,9.5,24,14.5,10.5,24,4.5,0
c5,J2,8,25,12.5,11.5,25,3.5,0
d1,J1,7.5,26.1,12,8,23.5,3,0
d1,J2,7.5,26,13,8,22,3.5,0
d2,J1,8,29.5,12,12,27,4,0
d2,J2,8.5,28,8.5,12,26,3,0
d3,J1,6,26,6.5,9.5,24.5,3,0
d3,J2,7,23,7,12,22,4,0
d4,J1,8.5,27.5,13,7.9,23,5,0
d4,J2,10,27.5,13,9,20,5,0
d5,J1,5.8,17,5,7,20,2.5,0
d5,J2,7,17,5,8,20,3,0
