选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A1,J1,9.5,28.5,12,11,26.5,3,0
A1,J2,9.7,28.5,12,13,27.4,4,0
A2,J1,8,25,12.5,11.5,25,3,0
A2,J2,6,26.5,11,11,21.5,3.5,0
A3,J1,7,24,10.5,11,26,2,0
A3,J2,8.5,25.5,9.5,11,24,3,0
A4,J1,9.5,28,12.5,12,27,3,0
A4,J2,9.8,28.5,11,12.5,27,3.5,0
B1,J1,9.6,28,12.5,13,27.5,3.5,0
B1,J2,9.9,27.9,12,12.8,27,3,0
B2,J1,7,23.5,10.5,11.5,24,2.5,0
B2,J2,7,24.1,12,11,23,3,0
B3,J1,6.5,20,9.5,11,22.5,2,0
B3,J2,6.6,21,10,10.9,20.5,2.5,0
B4,J1,8.1,24,11.5,10,23.5,3.5,0
B4,J2,8.5,23.8,11.9,9.8,20,4,0
C1,J1,9,26.5,10.5,12,26,3,0
C1,J2,9.2,26,9,12,25.5,3.5,0
C2,J1,8.8,25,9.5,11,24.5,2,0
C2,J2,8.5,24.5,8.5,10.5,24.5,2,0
C3,J1,7,22,11,8,20,2.5,0
C3,J2,7.2,20.5,10,9,20.5,3,0
C4,J1,9.2,24,9,11,24.5,3,0
C4,J2,9,25,8.5,11,24,3.5,0
D1,J1,9.5,26,10,12,25,2,0
D1,J2,9.2,26,10.5,12,24.8,2,0
D2,J1,10,28,10,14,26,3,0
D2,J2,9.6,26.3,10,12.5,26,2,0
D3,J1,9.5,28,9.5,13,25,3,0
D3,J2,9.5,26.7,9.5,11.8,25,2,0
D4,J1,7,18,8,6,13,0,0
D4,J2,7,18,8,6,13,0,0
