选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
1A,J1,9.7,27.5,12.5,11.8,27,5,0
1A,J2,9.5,27.5,12.5,11.5,25,6,0
1B,J1,8.8,26,13.5,10.9,24.5,6.5,0
1B,J2,8.5,25,13,10,22,7,0
2A,J1,9,28,14,13.8,28,6,0
2A,J2,9.5,26.8,13.8,10.3,22.8,5,0
2B,J1,8,21,11,11,24,5,-10
2B,J2,9.2,23.4,11.9,12.3,24,4,-10
3A,J1,7.9,23,13.8,11,24,6,0
3A,J2,,,,,,,
3B,J1,8.7,25,11.8,11.8,25,4.5,0
3B,J2,8.8,25.7,11,12.2,26.5,3.5,0
4A,J1,8,24,10,10,22.5,2,0
4A,J2,9.2,25,10.5,11.5,25,2,0
4B,J1,9,27,11.5,11.5,24.5,6,0
4B,J2,9,25.5,11.5,11,25,6,0
