选手码,评委,得体度,美观度,独特度,思辨度,完成度,合理度,有效度,参与度,耐玩度,成就度,加分项,扣分项
A1,J1,10,3.75,7.5,3,8,8,8,18,8,6,3,0
A1,J2,9,3.5,9.5,4,9,7.5,9,19,8,7,3,0
A2,J1,10,3,9,4.5,7,7.5,8.5,16,8,7,4,0
A2,J2,9.5,4,9,4,10,8,9,18,7,7.5,4,0
A4,J1,10,2.5,9,3,6,5,5,12,6,6,3,0
A4,J2,9,3,7,3,9,8.5,7.5,16,9,9.5,3,0
B1,J1,10,4.75,9.5,4,9.5,8.5,9,19,8.5,9,3.5,0
B1,J2,9.5,4,9,4,9,8.5,9,17,9,9,3.5,0
B2,J1,8,3.25,7.5,3,6.5,7.5,6.5,14,6,7.5,2.5,0
B2,J2,7.5,3,7,3,7.5,7.5,6,12,7.5,6,1,0
B3,J1,8.5,4,7.5,3,8.5,8.5,8,17,8,7.5,1.5,-40
B3,J2,9,4.5,8,3,9,9,7.5,16,8,8,1,-40
C1,J1,9,4.25,8.5,4.75,9,6.5,8.5,20,10,9,5,0
C1,J2,9,4.25,10,4.5,9,8.5,9,20,10,9,5,0
C2,J1,9,4.25,10,5,9,10,10,17,6.5,8,4.5,0
C2,J2,7,4.5,10,4.5,8.5,9,10,20,8,6.5,4.5,0
C3,J1,9.5,4,10,4.75,9,9,9,19,7.5,9,2.5,0
C3,J2,7.5,3,10,4,9,8,9,19,8.5,9,3.5,0
D1,JR1,8.5,3.25,10,4.5,9,9.5,9,18,8,10,4,0
D1,JR2,9.5,4.5,10,4.5,10,8,9,19,8,8.5,5,0
D2,J1,9,4,9,4,9,7,9,17,6.5,9,3.5,0
D2,J2,9,3.5,9.5,4,9.5,9,10,15,7.5,6,4,0
D3,JR1,6,4,6,3,7.5,6,7.5,13,6,6,1,0
D3,J2,8,4.25,5,2.5,6,5,4,15,6,6,2,0
