选手码,评委,得体度,美观度,独特度,思辨度,完成度,合理度,有效度,参与度,耐玩度,成就度,加分项,扣分项
A1,J1,10,4,10,4.5,9,9,8.5,18,9,10,4,0
A1,J2,9.5,4.5,10,5,9.5,8,10,19,7,9.5,4.5,0
A2,J1,10,4,6,3,8,7,6,12,7,5,3,0
A2,J2,9.5,4.5,6,3,8,7,8,15,6,6,3,0
A3,JR,10,4,8,3,7,7.5,6,17,7,7.5,3,0
A3,J2,7,5,8,1,6,5,3,16,5,5,2,0
A4,J1,10,4,9,3,8,8,7.5,16,7,8,4,0
A4,J2,10,5,9,3,9,9,9.5,18.5,7,9,4.5,0
B2,JR,9.7,4.3,10,4.8,6.4,7.1,7,16.5,8,10,1.2,0
B2,J2,8.5,3,10,5,9.3,9.8,9.8,20,10,10,4.5,5
B3,JR,7.4,3.7,10,4.8,5.1,6,5,13,4.4,5.8,3.2,0
B3,J2,8.8,3.8,10,4.8,6,7,6,15.5,6.5,6,3.5,0
B4,JR,9,4.5,8.2,3.1,9,7,7.4,16.8,7.8,7.9,3,0
B4,J2,8.8,4,8.3,4.2,8.5,7.8,8.5,17,8.5,8,3.5,0
C1,J1,10,5,9,3.5,9,9,9,19,9,9,4.5,0
C1,J2,9.8,5,10,4.7,9.9,9.3,9.7,19.7,9.5,9.2,4.7,0
C2,J1,7,3,6.5,2,6,7.5,7.5,15,7,7,0,-10
C2,J2,8.4,4.2,9.3,3,9.6,8.8,8.1,19.9,10,9,0,-10
D2,J1,9,3,10,5,8,7.5,9,19.5,9.5,8.5,3,0
D2,J2,10,5,10,4.5,9,8,9,18,8,9,3.5,0
D3,J1,8.5,4,10,3.5,9,8,10,14,4,4.5,4.5,0
D3,J2,10,3.5,9.5,4,7,6,6,15,7,6,4,0
