选手码,评委,得体度,美观度,独特度,思辨度,完成度,合理度,有效度,参与度,耐玩度,成就度,加分项,扣分项
a1,J1,8.5,3.5,7.5,3,7.5,8,8.5,16,7,6,,0
a1,J2,8,3.75,7.5,3,7.5,7.5,8.5,16,7,7,,0
a2,J1,9,3,9,3,6,6,6,12,6,6,,0
a2,J2,8.5,3.75,6.5,3,4.5,6,5.5,12,4,6,,0
a3,J1,8,3,9,3,9,5,9,16,6,6,,0
a3,J2,7,4.25,9,3.25,8.5,5.5,7.5,16,5.5,5.5,,0
a4,J1,10,3,9,3,5,5,6,12,5,6,,0
a4,J2,8,3.75,8.5,3,6.5,6,7.5,14,7,8,,0
a5,J1,10,5,10,4,9,9,9.5,20,7.5,9,,0
a5,J2,8.5,4.5,9.5,4.5,9.5,9,8.5,18,8.5,8,,0
b1,J1,8.5,5,10,5,9,8.5,9,18,8.5,9,,0
b1,J2,10,4.5,9.5,4,9.5,9,8,18,8.5,8.5,,0
b2,J1,7.5,3,10,4.5,9,5.5,8.5,15,1,6.5,,0
b2,J2,6,3.25,10,5,9.5,8.5,8,20,9.5,10,,0
b3,J1,9.5,5,7,3,7,8,8,16,8,6,,0
b3,J2,7.5,3,6.5,2.5,6,6,9,15,7,6,,0
b5,J1,1,0.5,6,0.5,2,1,4,8,3,1,,-40
b5,J2,0.5,0,9,0.25,0.5,0.5,0.5,1,1,0,,-40
c1,J1,5,3,8,3,2,6,3,12,3,6,,0
c1,J2,6,2,7,2,6,5,4,14,1,3,,0
c2,J1,9,4,1,2.5,9,9.5,8,18,9,9,,0
c2,J2,8.5,5,6,3,6,7.5,8,18,5,4.5,,0
c3,J1,8.5,5,9.5,4,9.5,8,6,18,6,8,,0
c3,J2,8.5,4.75,8,3.75,9,8.5,8,19,7,8,,0
c4,J1,9,5,9,4.5,9.5,9,9,19,9.5,10,,0
c4,J2,8,5,9.5,4.75,9.5,8,9,20,7,10,,0
c5,J1,10,4.5,10,5,10,9,10,20,9,10,,0
c5,J2,9,4.25,10,5,9.5,7.5,10,20,8.5,10,,0
d1,J1,10,4.25,9,2.75,6,6,6,15,3.5,5.5,,0
d1,J2,10,4.5,9.5,3,7,7,6,17,5,3,,0
d2,J1,8,3,8.5,4.25,9,7.5,7,17,7.5,6,,0
d2,J2,9.5,3.75,9,4.75,7,9,8,18,6,6,,0
d3,J1,9.5,5,7.5,4.5,9.5,7.5,9,16,6,6.5,,0
d3,J2,10,5,7,3,9.5,9,9.5,16,9,9,,0
d4,J1,8.5,3.5,9,4.5,9,8.5,8,16,9,8.5,,0
d4,J2,9,4.5,10,5,9.5,9,9,20,10,10,,0
