选手码,评委,得体度,美观度,独特度,思辨度,完成度,合理度,有效度,参与度,耐玩度,成就度,加分项,扣分项
1A,J1,10,5,9.5,4,8.4,8.9,9.5,19,9.1,8,5.9,0
1A,J2,10,5,10,4.3,9.3,9.3,8.8,17.5,8.5,8.5,6.5,0
1B,J1,9.8,5,10,5,10,8.1,9,19.9,9.9,9.4,7.9,0
1B,J2,9.8,4.8,9.3,4.7,9.8,9,9.5,19,9.3,9.3,7.5,0
1C,J1,8.5,4.3,10,5,9,9.5,8.9,20,9.6,9.1,8,0
1C,J2,8.5,3.5,9.5,4,6,6.5,6,14,7,6,6,0
1D,J1,9.7,4.6,10,5,10,9.6,9.5,20,9.9,10,8,0
1D,J2,10,4.5,10,4.8,9.5,9.3,9,20,9.5,9.3,7.8,0
2B,JR1,10,4.5,9.5,4.5,9.5,9,9,19.5,8.5,9,7,0
2B,J2,8.5,4.5,10,4.5,9.5,8,9,20,8.5,9,7,0
2C,JR1,9.5,5,8.5,3.5,9,7.5,8,18.5,7.5,8,5,0
2C,J2,9,4,8,4,9,6.8,8.5,19.5,8.5,9.5,3,0
