选手码,评委,得体度,美观度,独特度,思辨度,完成度,合理度,有效度,参与度,耐玩度,成就度,加分项,扣分项
S,J1,10,4.5,7,2,7,7.5,8,16,7,7,5,
S,J2,9.8,4.5,7.5,3.5,8,8.5,8.5,16,8,8,5.5,
S,J3,9,4.5,7.5,3.5,8,7.7,8,14.7,7,8,5,
S,J4,8,4,6,2,5,8,7,16,6,8,5,
M,J1,10,5,10,5,9.5,8.5,10,18.5,8.5,8.5,4,
M,J2,9.8,4.8,10,5,9.5,9,10,18,7.5,8,4,
M,J3,9.5,4.5,10,5,10,9.5,10,18.4,8.9,9.2,5.4,
M,J4,9,4.5,10,5,9.9,9.5,10,19.5,8.5,9,5,
W,J1,10,4.8,9.8,4.8,9.2,9.5,9.5,19,9.3,9.2,6.5,
W,J2,9.8,4.8,9.5,4.5,9.5,9.5,9.8,19.5,9.5,9,7,
W,J3,9.8,4.3,9.7,4.9,10,9.1,9.9,18.4,9.2,9.2,7.2,
W,J4,9.5,4.7,9,4.7,9.7,9,9.5,20,10,9.5,7.5,
P,J1,10,4.8,10,4.7,9.8,9.5,9.8,19.2,9.6,9.5,7,
P,J2,10,5,9.8,4.5,9.9,9.8,9.8,19,9.8,9.8,7.5,
P,J3,9.5,4.7,9.5,4.9,10,9.3,9.8,18.4,9.2,9.3,7.2,
P,J4,9,4.5,10,4.5,10,9.5,9.5,19,10,9.5,8,
