选手码,评委,欣赏性,娱乐性,挑战性,创新性,加分项,扣分项
A1,J1,7.8,55.3,18,7.4,,0
A1,J2,9,55,19,8,,0
A2,J1,8.7,55.2,16.8,7.3,,0
A2,J2,9,57,17,7,,0
A3,J1,5,42,12,6.5,,0
A3,J2,5,48,16,3,,0
A4,J1,9.2,50,14.6,5.7,,0
A4,J2,8,55,19,7,,0
B1,J1,8,50.2,14.1,7,,0
B1,J2,7,47,11,6.8,,0
B2,J1,9.5,53.4,18.2,6.9,,0
B2,J2,9.2,57,17.8,7.5,,0
B4,J1,10,51.4,16.3,7.2,,0
B4,J2,9.5,54.7,17,7.5,,0
C1,J1,9.8,54,18,7.3,,0
C1,J2,9.5,56,18.7,7.8,,0
C2,J1,9,54.1,17,6.3,,0
C2,J2,8.9,53.5,17.7,6,,0
C3,J1,7.6,48.9,16.1,5,,0
C3,J2,7.8,48.7,16.2,5,,0
C4,J1,8.6,52.1,16.2,6.2,,0
C4,J2,8.4,52,17,7,,0
D1,J3,9.5,58,20,8,,0
D1,J2,9.5,56.7,20,8.5,,0
D2,J3,8.5,50,16,8.5,,0
D2,J2,8,50.3,14.9,7.5,,0
D3,J3,7,51,16,8,,0
D3,J2,7.4,52,16,7,,0
D4,J3,8,57,16,9,,0
D4,J2,9.3,56.8,19,8.5,,0
