选手码,评委,欣赏性,娱乐性,挑战性,创新性,加分项,扣分项
a1,J1,7,8,4,3,2,0
a1,J2,6,4,3,2,2,0
a2,J1,7,52.5,15.5,8,4,0
a2,J2,9,51.5,15.5,7,4.5,0
a3,J1,5,49,13,5,3,0
a3,J2,6,47,12,4.5,3.5,0
a3,JR,4,42,10,3,4,0
a4,J1,7.5,56,15,9.8,3.5,0
a4,J2,7.5,55,14,9.5,3.5,0
b1,J1,5,50,18,7,3,0
b1,J2,6,42,17,7,5,0
b2,J1,8,55,16,7,4,0
b2,J2,8.7,39,11.9,8,5,0
b3,J2,8,45,8,5,5,0
b3,JR,8,45,10,3,4,0
b4,J1,9,52,13,5,3,0
b4,J2,10,53.5,19,8,4,0
c1,J1,2,2,1,1,0.5,0
c1,J2,1,1,2,0,1,0
c2,J1,8.5,45,15,9,4,0
c2,J2,9.5,50,17,9.5,5,0
c3,J1,7,53.5,13,8,3,0
c3,J2,7,53.5,13,8,3,0
c4,J1,7.5,56,18.5,9,3,0
c4,J2,10,56,19,8,4,0
d1,J1,9.9,54,17,7.5,5,0
d1,J2,9.5,54,17.5,8,5,0
d2,J1,10,53,18,7,5,0
d2,J2,10,55,17,7.5,5,0
d3,J1,7,41,6.5,5.5,2,0
d3,J2,4.5,37,7,3,1,0
d4,J1,9,44,14.5,5.5,2,0
d4,J2,8,45,13,6,1,0
d4,JR,8,42,13,5,0.5,0
