选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
1A,J1,9.4,27.7,12.1,12.8,27.3,6,0
1A,J2,9.5,27,12,12.5,26,6,0
1B,J1,7.6,27.1,13.6,12.5,26.7,6,0
1B,J2,8,26.5,13.5,13,25,5.5,0
2A,J1,9.6,28.2,12.3,13.6,27.8,6.5,0
2A,J2,9.6,28,12.5,13,27.8,6.5,0
2B,J1,7.2,22,8.2,9.5,23.5,1.5,0
2B,J2,7,22,8,9,23.5,1,0
3A,J1,9.2,28.2,14,13.9,24.5,7.5,0
3A,J2,9.5,28,13.5,13.5,27.3,7,0
3B,J1,9.4,27.5,10,13,25.5,5,0
3B,J2,9.2,26.6,11,13.4,27,5.5,0
4A,J1,9.5,27.8,12.3,12.7,28.5,6.5,0
4A,J2,9.5,27,12,13,28.5,6.5,0
4B,J1,9.4,28.5,13.3,12.9,28,6.5,0
4B,J2,9.5,28,13,12.5,28,7,0
