选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
A1,J1,9.5,27.3,12.9,12.7,27.1,2.5,0
A1,J2,9.4,27.5,12.7,12.9,28.1,3.5,0
A2,J1,9,25.3,11.6,12.2,25.4,2,0
A2,J2,8.7,24.3,10,11.7,24.5,1.5,0
A3,J1,6.9,23.8,12,11.6,24.7,1,0
A3,J2,8.6,23,11,10,21,1.5,0
B1,J1,9.6,28.3,14,13.1,27,4.5,0
B1,J2,9.6,28.3,14,13.1,27,4.5,0
B2,J1,9.1,26,11,12.5,25.5,3,0
B2,J2,8.8,27.3,11.7,11.7,24.5,3,0
B3,J1,8,28.5,14,13,27.5,4.5,0
B3,J2,8.5,29.1,14.5,13.3,27.9,4.5,0
B4,J1,9.2,26.7,12.8,12.5,26.8,4,0
B4,J2,9.8,25.5,12,13,27.5,3.5,0
C1,J1,9.3,27.5,12,12.5,27,4,0
C1,J2,9.5,27.8,11.2,12.8,27.8,2.5,0
C2,J1,9,26.6,13,11.5,26,4,0
C2,J2,9.2,27,13,11.5,26.5,3.5,0
C3,J1,8.5,23,9,10.5,24,2,0
C3,J2,7,21.5,10.5,11,24,1.5,0
C4,J1,8.5,21,9.5,11,23.5,3,0
C4,J2,9.1,24,10.4,10.8,26,1.5,0
D1,J1,7.5,22.8,10.6,10.8,22,2,0
D1,J2,8,22,11,11,22,3.5,0
D2,J1,8.9,27.3,10,12.8,25.5,1.5,0
D2,J2,9,27.5,10,13,26,1,0
D3,J1,7.9,24.9,13.2,11.5,24.9,2,0
D3,J2,8,20,13,11.5,25,2.5,0
