选手码,评委,欣赏性,设计水平,创新性,挑战性,娱乐性,加分项,扣分项
a1,J1,8,24,12,11,23,0,0
a1,J2,8.7,24.9,11.3,11.9,25.2,0,0
a2,J1,8.8,27.5,13,13,27,0,0
a2,J2,9.4,26.6,12.5,12.8,26.8,0,0
a3,J1,8.8,27.5,12.9,12,23.5,0,0
a3,J2,9.3,26.6,13.1,10,22.6,0,0
a5,J1,7.2,24,8,11,23.8,0,0
a5,J2,7.7,24.1,10,10.5,24.4,0,0
a6,J1,6.5,23,10.5,11.8,23,0,0
a6,J2,5,24.1,10.6,12.4,25.2,0,0
b1,J1,9.7,28,13,12.5,27,0,0
b1,J2,9.6,28.3,12.5,12.2,28,0,0
b2,J1,7.8,24.8,12,11.2,24.8,0,0
b2,J2,7.6,23.8,11.5,11.2,24,0,0
b3,J1,8,24,9.5,11.5,24,0,0
b3,J2,7.8,24.5,9,11,24,0,0
b4,J1,7.5,24.8,10.2,11.8,24.5,0,0
b4,J2,7,23.8,10,11.8,24.7,0,0
b5,J1,7,26,13.8,11.8,25.8,0,0
b5,J2,5.5,26.2,13.7,12.2,24.5,0,0
b6,J1,9.2,27,12.2,12.5,26.8,0,0
b6,J2,8.8,25.2,12.1,12.1,25.5,0,0
c1,J1,8.6,27,12.8,13.3,27.1,0,0
c1,J2,8.7,26.6,12.5,13.6,27.1,0,0
c2,J1,9.1,24.8,10.2,11.5,25,0,0
c2,J2,9.1,25.1,10.6,12,26,0,0
c3,J1,9.5,26,12.4,12.4,26.8,0,0
c3,J2,9.5,25.7,12.8,12.8,26.1,0,0
c4,J1,8.7,26.8,12.9,12.1,26,0,0
c4,J2,8.9,26.7,13,12.2,26,0,0
c5,J1,8.7,27.3,13.7,12.4,26.5,0,0
c5,J2,8.5,27,13.7,13.5,27.1,0,0
c6,J1,8,27,13.1,13.4,27.5,0,0
c6,J2,7.5,26.8,13.2,13,27.5,0,0
d1,J1,9.9,29.8,13.9,13.5,28,0,0
d1,J2,9.5,29.3,14.1,14.5,28.5,0,0
d2,J1,8.4,23.6,12.5,13.8,23.7,0,0
d2,J2,8,24,11,12,24,0,0
d4,J1,8.7,23.1,9.8,11.3,24.1,0,0
d4,J2,9,24,10.5,12,24.5,0,0
d5,J1,9,26,13.1,10.7,24.7,0,0
d5,JR,9.5,26.5,13,12,25,0,0
d6,J1,6.4,19.9,10.1,4.4,14.9,0,0
d6,J2,5.5,19.5,10,7.5,14,0,0
