选手码,评委,得体度,美观度,独特度,思辨度,完成度,合理度,有效度,参与度,耐玩度,成就度,加分项,扣分项
1A,J1,9,4.5,9,4.5,10,9.5,10,20,9,9,7.5,0
1A,JR,9.5,4.25,9.5,5,9.5,9.5,10,20,9,10,7,0
1B,J1,9,4.5,9,4.25,9.5,9,9,19,8.5,9,7,0
1B,JR,9.5,3.75,10,3.5,10,8,9,20,7.5,9,4,0
1C,J1,8.5,4.5,9,4.5,7.5,5.5,8.5,15,7.5,8.5,4,0
1C,JR,8,4.25,10,4.75,7,6,7,17,7,8.5,2,0
2A,J1,9.5,4.5,9.5,4,9,9.5,9,20,9,8.5,7,0
2A,J2,10,4.5,10,4.75,9.5,9,9.5,19,8.5,8.5,7.5,0
2B,J1,9.5,4.75,9,4,10,9.5,9,19,9.5,10,5,0
2B,J2,10,4.75,10,4.5,10,8.5,9,19,9,9.5,5,0
2C,J1,9,4.75,8,3.75,8.5,9,8.5,18,9,8,4,0
2C,J2,9.5,4.25,9,4.5,9,8,8.5,18,8,9,5.5,0
3A,J1,10,3,10,4.5,10,9.5,8,18,7,9,5,0
3A,J2,9,3.5,10,4.5,9,8,8.5,18,7.5,8.5,5.5,0
3B,J1,10,2.5,7,3,7.5,9,6,16,9,7.5,3,0
3B,J2,9.5,4.75,7.5,3.25,8.5,8,8,18,8.5,8.5,3.5,0
3C,J1,10,3,10,5,10,9,10,16,6,6,7,0
3C,J2,8.5,3.5,9,5,10,8,10,19,7,6.5,8,0
