选手码,评委,得体度,美观度,独特度,思辨度,完成度,合理度,有效度,参与度,耐玩度,成就度,加分项,扣分项
1A,J1,10,5,10,4.8,9.5,9.5,9.8,18,9,9.5,6.6,0
1A,J2,10,4.8,9.8,4.8,9.5,9.8,9.3,18,9,9.5,7,0
1B,J1,9.5,4.6,10,4.9,10,8.5,9.7,19,9,8.8,6.4,0
1B,J2,9.8,4.7,10,4.8,9.5,8.5,8.8,18,8.5,8.5,6,0
1C,J1,8.5,4,8.9,3.7,10,10,10,19.1,10,9.7,7.8,0
1C,J2,9,4,9.8,5,10,9.8,10,19,10,10,8,0
1D,J1,9.4,4.5,10,4.5,9.6,9,9,19.6,9.2,9,6.3,0
1D,J2,8.8,3.8,10,4.3,8.8,8.8,8.5,19,8.5,8.5,6,0
2A,JR1,8.5,3.5,8,3,8.5,8,8.5,18,7.5,8.5,5,0
2A,J2,10,3,7.5,3,8,8.5,8.8,18.5,7.5,9,4.5,0
2D,JR1,9,3,8,3.5,8,8,8.5,17,7,8,4,0
2D,J2,8,2,8,3,7,8.5,9,16,7,8.5,4,0
