选手码,评委,得体度,美观度,独特度,思辨度,完成度,合理度,有效度,参与度,耐玩度,成就度,加分项,扣分项
S,J1,9.5,5,9,5,10,9.5,9.5,20,9.6,10,8,
S,J2,9.9,4.7,9.5,5,10,9.6,9.2,19.8,9.3,9.7,7.3,
S,J3,10,5,9,4.5,10,9,9,20,8.5,10,8,
S,J4,10,4.7,9.5,4.6,9.8,9.3,9.5,19.5,9.5,9.5,6,
M,J1,10,4.8,9,4.7,9.7,9.5,9.5,19.5,9.7,9.3,7.9,
M,J2,10,4.9,9.8,4.7,9.9,9.8,9.7,19.5,9.2,9.8,6.9,
M,J3,9.5,4.5,9,4.5,10,9,8.5,18,9,9,5,
M,J4,10,5,10,5,9.5,9,9.5,20,9,9,7,
W,J1,9,4.4,9.8,5,10,9,9.5,19.5,9.4,9.7,7.3,
W,J2,9.8,4.7,10,5,9.9,9.7,9.8,19.4,8,9.9,5.5,
W,J3,10,5,10,4.5,9,8,8,19,7.5,8,6,
W,J4,9.5,4.2,10,4.5,9.2,9,9.2,19,9.2,9,4,
P,J1,9,4.5,8.9,4.3,6,9.5,9.5,18,9.6,8.2,5,
P,J2,10,4,9,3.5,7,9.8,9.5,18,7.5,8,3.5,
P,J3,10,4,8,3.5,8,8,8,16,7,7,1,
P,J4,9.5,4.2,7.5,3.5,6,8.5,8.5,15,7.5,6,2.5,
