选手码,评委,得体度,美观度,独特度,思辨度,完成度,合理度,有效度,参与度,耐玩度,成就度,加分项,扣分项
A1,J1,9.8,5,10,4.9,9.9,9,10,19.9,10,9.1,4,0
A1,J2,10,4,9,3.5,8,9,9,19,7.5,9,4.5,0
A2,J1,9.6,4.5,9.1,4.6,8.7,8.9,8.3,19.1,7.8,8.1,2,0
A2,J2,9,3.5,8,3,9,8,8.5,17.5,7.5,8.5,0.5,0
A3,J1,9.9,5,9,4.5,9,9.8,8,19,8.9,9,4.5,0
A3,J2,9.5,5,10,3.5,10,9,9,19,9,9,5,0
A4,J1,9.6,4.3,5.2,3.2,6.8,7.6,6.2,14.6,5.2,6.1,3,0
A4,J2,9,3,10,1,5,9,6,16,8,6,1,0
B1,J1,10,5,8.5,3,9,9,8.5,18,8,9.5,5,0
B1,J2,10,5,9.5,4,9,9.5,9,19,8.5,9,4.5,0
B2,J1,9.5,4.5,9,2,3,8.5,3,14,5,5,3,0
B2,J2,9.8,4.9,9,1,5,5,5,8,2,2,3.5,0
B3,J1,8,3,5,1,2,5,2,10,3,3,0.5,0
B3,J2,9,4.5,3,1.5,1,4,4,2,1,1,0.5,0
C1,J1,10,5,10,4.5,9.2,9.5,9.2,19,9,8.5,3.7,0
C1,J2,9.4,4.5,9.9,5,9.5,8.4,9.8,18.7,8.5,9.5,3.3,0
C2,J1,9.8,4,9.3,3.7,8.3,7.8,8.2,17.5,7.5,7.5,2.5,0
C2,J2,9.4,4,9.3,4.1,8,8.7,7.5,18,8.4,8.4,4.1,0
C3,J1,8.5,3.5,9,4,7.5,8,8,17.5,7,7,3,0
C3,J2,9,4.4,8.8,4.4,7.8,8,7.7,15.5,8.3,7.8,3.3,0
C4,J1,10,5,8,2.8,7.8,9.5,8,17,7,6.5,4,0
C4,J2,9.5,4.7,8,4.4,8.5,8.5,9,17.7,9,8.5,4.1,0
