选手码,评委,欣赏性,创新性,设计性,游戏性,加分项,扣分项
a1,J1,13.5,15,29,24,5,
a1,J2,15,15,24,24,3,
a1,JZ1,12,15,21,24,3,
a1,JZ2,10.5,15,21,24,1,
a1,JZ3,15,15,21,24,1,
a2,J1,13.5,14.5,30,37,5,
a2,J2,14,14,27,36,5,
a2,JZ1,12,14,27,36,5,
a2,JZ2,13.5,14,29,36,4.5,
a2,JZ3,15,15,29.5,39,5,
a3,J1,12,14,27,36,4,
a3,J2,14,14,27,36,3,
a3,JZ1,12,15,27,36,4,
a3,JZ2,12,13.5,24,36,4,
a3,JZ3,13.5,15,27,36,4.5,
a4,J1,13.5,12,24,28,3,
a4,J2,12,10.5,21,32,2,
a4,JZ1,9,12,24,32,1,
a4,JZ2,12,12,24,32,3,
a4,JZ3,12,13.5,27,32,3,
a5,J1,14,14,28,38,4,
a5,J2,15,13.5,29,37,3,
a5,JZ1,14,14,28,38,5,
a5,JZ2,14,14,28,36,4,
a5,JZ3,14.5,15,29,37,5,
a6,J1,9,10.5,21,24,1,
a6,J2,9,12,18,28,1,
a6,JZ1,9,12,21,24,0,
a6,JZ2,12,13.5,21,24,0,
a6,JZ3,9,13.5,12,28,1,
b1,J1,14.5,13.5,27,36,4.5,
b1,J2,15,14,29,38,4.5,
b1,JZ1,13.5,14,27,36,4,
b1,JZ2,13.5,14.5,27,36,5,
b1,JZ3,12,12,27,24,3,
b2,J1,13,14,27,39,1,
b2,J2,13.5,14.5,28,38,3,
b2,JZ1,13.5,14,28,37,1,
b2,JZ2,12,10.5,24,32,1,
b2,JZ3,13.5,12,28,36,3,
b3,J1,14,13.5,28,38,4,
b3,J2,14.5,12,27,36,4,
b3,JZ1,12,12,27,38,3,
b3,JZ2,14,14,27,36,4,
b3,JZ3,12,12,24,38,3,
b4,J1,15,15,28,36,5,
b4,J2,15,15,27,36,5,
b4,JZ1,15,15,28,28,4.5,
b4,JZ2,14.5,15,28,28,5,
b4,JZ3,13.5,10.5,24,24,2,
b5,J1,13.5,14,24,28,1,
b5,J2,13.5,13.5,28,38,2,
b5,JZ1,14,12,27,24,1,
b5,JZ2,13.5,12,27,32,2,
b5,JZ3,12,12,27,24,1,
b6,J1,15,14.5,29.5,39,5,
b6,J2,14.5,14.5,29,38,2,
b6,JZ1,14.5,14,29,38,3,
b6,JZ2,14.5,15,29,38,4,
b6,JZ3,14.5,14.5,29,38,4,
