选手码,评委,得体度,美观度,独特度,思辨度,完成度,合理度,有效度,参与度,耐玩度,成就度,加分项,扣分项
4,J1,9,3.5,9.5,4.5,9.5,8,10,18.5,8.5,9,4,
4,J2,9.5,4,9.5,4.8,10,9,9.5,19,9,9.5,4.5,
5,J1,9,3.5,7,4,8,8,8.5,17,7,8,2.5,
5,J2,9,4.2,7.5,3.5,8,8,7.5,17.5,8,8,1,
6,J1,9.8,4.6,9.2,4.1,8.4,8.5,9,18.4,7.2,8.7,3,
6,J3,8.5,3.5,8.5,3.5,8,9,8.5,16,8,8,2,
7,J2,10,5,10,5,10,9.5,10,19.5,9.5,10,5,
7,J3,7,2,7.5,3,8,7,7.5,16,7.5,8,2,
8,J2,9,4.5,8.5,4.5,9,9,9.5,17.5,8.5,8.5,2,
8,J3,8,3.5,8,3.5,8,9,8.5,16,8,8,2,
9,J2,9,4,8.5,4,8.5,8.5,9,17,8.5,9,3,
9,J1,8.9,4.2,7.9,4,8.6,8.8,8.2,17.9,7.2,8,2.8,
10,J4,9,4.4,9.7,4.1,8.4,8.5,8,18.5,8.6,8.4,1.5,
10,J1,8.6,3.8,9.6,4.5,9.1,9,9.2,18,8,9.2,3.8,
